         ps         /mips_tb/U_0/IFE/Instruction   /mips_tb/U_0/IFE/Zero            /mips_tb/U_0/IFE/PC    /mips_tb/U_0/IFE/Mem_Addr      /mips_tb/U_0/ID/read_data_1      /mips_tb/U_0/ID/read_data_2      /mips_tb/U_0/ID/Instruction        /mips_tb/U_0/ID/read_data       /mips_tb/U_0/ID/ALU_result            /mips_tb/U_0/ID/Sign_extend                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /mips_tb/U_0/ID/register_array             /mips_tb/U_0/ID/write_data  /mips_tb/U_0/ID/Instruction_immediate_value  /mips_tb/U_0/CTL/RegWrite  /mips_tb/U_0/CTL/clock  /mips_tb/U_0/CTL/Beq     /mips_tb/U_0/EXE/Read_data_1     /mips_tb/U_0/EXE/Read_data_2     /mips_tb/U_0/EXE/Sign_extend                    /mips_tb/U_0/EXE/ALU_Result  /mips_tb/U_0/EXE/reset          /mips_tb/U_0/EXE/Ainput          /mips_tb/U_0/EXE/Binput  /mips_tb/U_0/EXE/ALU_output_mux                    /mips_tb/U_0/MEM/read_data               /mips_tb/U_0/MEM/write_data  /mips_tb/U_0/MEM/write_clock                                                                                
          delta              /mips_tb/U_0/IFE/PC_plus_4_out    /mips_tb/U_0/IFE/clock   /mips_tb/U_0/IFE/PC_plus_4                                                                                                                                                                 /mips_tb/U_0/ID/RegWrite                  /mips_tb/U_0/ID/clock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    /mips_tb/U_0/ID/write_register_address      /mips_tb/U_0/ID/read_register_2_address                 /mips_tb/U_0/CTL/Opcode  /mips_tb/U_0/CTL/MemRead  /mips_tb/U_0/CTL/reset                                                                                          /mips_tb/U_0/EXE/Function_opcode                      /mips_tb/U_0/EXE/Add_Result                                                                                                /mips_tb/U_0/EXE/Branch_Add                      /mips_tb/U_0/MEM/address           /mips_tb/U_0/MEM/MemRead            /mips_tb/U_1/clock                                                                              
                                         /mips_tb/U_0/IFE/Add_result  /mips_tb/U_0/IFE/reset       /mips_tb/U_0/IFE/next_PC                                                                                                                                                          /mips_tb/U_0/ID/MemtoReg                  /mips_tb/U_0/ID/reset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /mips_tb/U_0/ID/read_register_1_address                         /mips_tb/U_0/CTL/RegDst  /mips_tb/U_0/CTL/MemWrite  /mips_tb/U_0/CTL/R_format                                                                                                 /mips_tb/U_0/EXE/ALUOp                               /mips_tb/U_0/EXE/PC_plus_4                                                                                            /mips_tb/U_0/EXE/ALU_ctl                                                      /mips_tb/U_0/MEM/Memwrite            /mips_tb/U_1/reset                                                                            
                                               /mips_tb/U_0/IFE/Branch                                                                                                                                                                                                                   /mips_tb/U_0/ID/RegDst                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        /mips_tb/U_0/ID/write_register_address_1               /mips_tb/U_0/CTL/ALUSrc    /mips_tb/U_0/CTL/Branch        /mips_tb/U_0/CTL/Lw                                                                                                /mips_tb/U_0/EXE/ALUSrc                                   /mips_tb/U_0/EXE/clock                                                                                                                                                                             /mips_tb/U_0/MEM/clock                                                                                                        
                                                            /mips_tb/U_0/IFE/PC_out                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          /mips_tb/U_0/ID/write_register_address_0         /mips_tb/U_0/CTL/MemtoReg      /mips_tb/U_0/CTL/ALUop       /mips_tb/U_0/CTL/Sw                                                                                                  /mips_tb/U_0/EXE/Zero                                                                                                                                                                                                                                      /mips_tb/U_0/MEM/reset                                                                                                      
          0  +6 00000000000000000000000000000000 XXXXXXXX00 XXXXXXXX 0 0 UUUUUUUU00 0      0 UUUUUUUU00 XXXXXXXX00 XXXXXXXX XXXXXXXX UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000000000000000000000000000 00000000000000000000000000000000 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX 1 0 1 00000000000000000000000000000000 0 0 {UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU} 00000 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX 00000 00000 00000 00000     0000000000000000 000000 1 0 0             1     0  0 0 10         0     0     1 0 0     0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000000000000000000000000000 000000 10 0 0 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXX XXXXXXXX00 0 0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXX 010 00000000000000000000000000000000 XXXXXXXX UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 0 0 0 0                     1 0 0 
      20000  +3 00000000000000000000000000000000 XXXXXXXX00 XXXXXXXX 0 0 UUUUUUUU00 0      1 UUUUUUUU00 XXXXXXXX00 00000000 00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000000000000000000000000000 00000000000000000000000000000000 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX 1 0 1 00000000000000000000000000000000 0 1 {UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU} 00000 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX 00000 00000 00000 00000     0000000000000000 000000 1 0 0             1     0  0 0 10         0     1     1 0 0     0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000000000000000000000000000 000000 10 0 0 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXX XXXXXXXX00 0 1 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXX 010 00000000000000000000000000000000 XXXXXXXX UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 0 0 0 1                     1 0 1 
      50000  +8 10001100000010010000000000000000 0000000100 00000001 0 1 0000000000 1      1 0000000000 0000000100 00000000 00000000 00000000000000000000000000000000 00000000000000000000000000001001 10001100000010010000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 1 1 0 00000000000000000000000000000000 1 1 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000001001 00000000000000000000000000001010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01001 00000000000000000000000000000000 00000 01001 00000 01001     0000000000000000 100011 0 1 1             1     1  0 0 00         1     1     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001001 00000000000000000000000000000000 000000 00 1 1 00000000000000000000000000000000 00000001 0000000100 1 1 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000001 010 00000000000000000000000000000000 00000000 00000000000000000000000000001001 1 0 1 1                     0 1 1 
     100000  +8 10001100000010010000000000000000 0000000100 00000001 0 1 0000000000 0      1 0000000000 0000000100 00000000 00000000 00000000000000000000000000000000 00000000000000000000000000001001 10001100000010010000000000000000 00000000000000000000000000000001 00000000000000000000000000000000 1 1 0 00000000000000000000000000000000 0 1 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000001001 00000000000000000000000000001010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01001 00000000000000000000000000000001 00000 01001 00000 01001     0000000000000000 100011 0 1 1             1     1  0 0 00         0     1     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001001 00000000000000000000000000000000 000000 00 1 1 00000000000000000000000000000000 00000001 0000000100 0 1 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000001 010 00000000000000000000000000000001 00000000 00000000000000000000000000001001 1 0 0 1                     1 0 1 
     120000  +3 10001100000010010000000000000000 0000000100 00000001 0 1 0000000000 0      0 0000000000 0000000100 00000001 00000001 00000000000000000000000000000000 00000000000000000000000000001001 10001100000010010000000000000000 00000000000000000000000000000001 00000000000000000000000000000000 1 1 0 00000000000000000000000000000000 0 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000001001 00000000000000000000000000001010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01001 00000000000000000000000000000001 00000 01001 00000 01001     0000000000000000 100011 0 1 1             1     1  0 0 00         0     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001001 00000000000000000000000000000000 000000 00 1 1 00000000000000000000000000000000 00000001 0000000100 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000001 010 00000000000000000000000000000001 00000000 00000000000000000000000000001001 1 0 0 0                     1 0 0 
     150000 +10 10001100000010100000000000000100 0000001000 00000110 0 0 0000000100 1      0 0000000100 0000001000 00000010 00000010 00000000000000000000000000000000 00000000000000000000000000001010 10001100000010100000000000000100 00000000000000000000000000000001 00000000000000000000000000000100 1 1 0 00000000000000000000000000000100 1 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000001010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01010 00000000000000000000000000000001 00000 01010 00000 01010     0000000000000100 100011 0 1 1             1     1  0 0 00         1     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001010 00000000000000000000000000000100 000100 00 1 0 00000000000000000000000000000100 00000110 0000001000 1 0 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000110 010 00000000000000000000000000000001 00000001 00000000000000000000000000001010 1 0 1 0                     0 1 0 
     200000  +8 10001100000010100000000000000100 0000001000 00000110 0 0 0000000100 0      0 0000000100 0000001000 00000010 00000010 00000000000000000000000000000000 00000000000000000000000000001010 10001100000010100000000000000100 00000000000000000000000000000010 00000000000000000000000000000100 1 1 0 00000000000000000000000000000100 0 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000001010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01010 00000000000000000000000000000010 00000 01010 00000 01010     0000000000000100 100011 0 1 1             1     1  0 0 00         0     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001010 00000000000000000000000000000100 000100 00 1 0 00000000000000000000000000000100 00000110 0000001000 0 0 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000110 010 00000000000000000000000000000010 00000001 00000000000000000000000000001010 1 0 0 0                     1 0 0 
     250000 +10 10001100000010110000000000001000 0000001100 00001011 0 0 0000001000 1      0 0000001000 0000001100 00000011 00000011 00000000000000000000000000000000 00000000000000000000000000001011 10001100000010110000000000001000 00000000000000000000000000000010 00000000000000000000000000001000 1 1 0 00000000000000000000000000001000 1 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01011 00000000000000000000000000000010 00000 01011 00000 01011     0000000000001000 100011 0 1 1             1     1  0 0 00         1     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001011 00000000000000000000000000001000 001000 00 1 0 00000000000000000000000000001000 00001011 0000001100 1 0 00000000000000000000000000000000 00000000000000000000000000001000 00000000000000000000000000001000 00001011 010 00000000000000000000000000000010 00000010 00000000000000000000000000001011 1 0 1 0                     0 1 0 
     300000  +8 10001100000010110000000000001000 0000001100 00001011 0 0 0000001000 0      0 0000001000 0000001100 00000011 00000011 00000000000000000000000000000000 00000000000000000000000000001011 10001100000010110000000000001000 00000000000000000000000000000011 00000000000000000000000000001000 1 1 0 00000000000000000000000000001000 0 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000001011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01011 00000000000000000000000000000011 00000 01011 00000 01011     0000000000001000 100011 0 1 1             1     1  0 0 00         0     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001011 00000000000000000000000000001000 001000 00 1 0 00000000000000000000000000001000 00001011 0000001100 0 0 00000000000000000000000000000000 00000000000000000000000000001000 00000000000000000000000000001000 00001011 010 00000000000000000000000000000011 00000010 00000000000000000000000000001011 1 0 0 0                     1 0 0 
     350000 +10 10001100000011000000000000001100 0000010000 00010000 0 0 0000001100 1      0 0000001100 0000010000 00000100 00000100 00000000000000000000000000000000 00000000000000000000000000001100 10001100000011000000000000001100 00000000000000000000000000000011 00000000000000000000000000001100 1 1 0 00000000000000000000000000001100 1 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01100 00000000000000000000000000000011 00000 01100 00000 01100     0000000000001100 100011 0 1 1             1     1  0 0 00         1     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000001100 001100 00 1 0 00000000000000000000000000001100 00010000 0000010000 1 0 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000001100 00010000 010 00000000000000000000000000000011 00000011 00000000000000000000000000001100 1 0 1 0                     0 1 0 
     400000  +8 10001100000011000000000000001100 0000010000 00010000 0 0 0000001100 0      0 0000001100 0000010000 00000100 00000100 00000000000000000000000000000000 00000000000000000000000000001100 10001100000011000000000000001100 00000000000000000000000000000100 00000000000000000000000000001100 1 1 0 00000000000000000000000000001100 0 0 {00000000000000000000000000000000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000000100 00000000000000000000000000000101 00000000000000000000000000000110 00000000000000000000000000000111 00000000000000000000000000001000 00000000000000000000000000000001 00000000000000000000000000000010 00000000000000000000000000000011 00000000000000000000000000001100 00000000000000000000000000001101 00000000000000000000000000001110 00000000000000000000000000001111 00000000000000000000000000010000 00000000000000000000000000010001 00000000000000000000000000010010 00000000000000000000000000010011 00000000000000000000000000010100 00000000000000000000000000010101 00000000000000000000000000010110 00000000000000000000000000010111 00000000000000000000000000011000 00000000000000000000000000011001 00000000000000000000000000011010 00000000000000000000000000011011 00000000000000000000000000011100 00000000000000000000000000011101 00000000000000000000000000011110 00000000000000000000000000011111} 01100 00000000000000000000000000000100 00000 01100 00000 01100     0000000000001100 100011 0 1 1             1     1  0 0 00         0     0     0 1 0     0 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000001100 001100 00 1 0 00000000000000000000000000001100 00010000 0000010000 0 0 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000001100 00010000 010 00000000000000000000000000000100 00000011 00000000000000000000000000001100 1 0 0 0                     1 0 0 
